Ward code,Year ending Dec 2019
E05008942,109000
E05008943,136000
E05008944,130000
E05008945,107000
E05008946,148000
E05008947,91250
E05008948,89500
E05008949,80000
E05008950,276500
E05008951,149950
E05008952,53000
E05009853,132000
E05009854,120250
E05009855,67000
E05009856,88998
E05009857,63000
E05009858,158950
E05009859,115000
E05009860,151250
E05009861,130000
E05009862,117500
E05009863,100500
E05009864,150000
E05009865,200000
E05009866,49950
E05009867,36000
E05009868,250000
E05009869,102500
E05009870,79200
E05009871,204950
E05009872,204950
E05012437,150000
E05012438,97000
E05012439,85000
E05012440,89750
E05012441,99000
E05012442,54000
E05012443,130000
E05012444,184950
E05012445,131000
E05012446,75500
E05012447,113000
E05012448,151000
E05012449,111000
E05012450,125000
E05012451,155000
E05012453,185000
E05012454,121000
E05012455,115500
E05012456,110000
E05012452,159950
E05012457,119913
E05012458,131000
E05012459,184000
E05012460,115000
E05001527,92750
E05001528,82000
E05001529,136000
E05001530,110000
E05001531,145000
E05001532,140000
E05001533,195000
E05001534,140000
E05001535,160000
E05001536,117000
E05001537,152500
E05001538,187000
E05001539,195000
E05001540,75750
E05001541,83000
E05001542,315000
E05001543,110998
E05001544,88500
E05001545,159500
E05001546,152998
E05001547,89250
E05001548,119000
E05001549,135950
E05001550,129250
E05001551,182950
E05001552,254995
E05010412,83750
E05010413,145000
E05010414,110500
E05010415,228000
E05010416,105000
E05010417,116000
E05010418,118000
E05010419,219950
E05010420,287000
E05010421,241500
E05010422,190125
E05010423,85000
E05010424,60750
E05010425,83725
E05010426,236500
E05010427,99500
E05010428,149495
E05010429,213975
E05010430,117498
E05010431,139725
E05009030,87000
E05009031,105000
E05009032,162000
E05009033,75000
E05009034,196250
E05009035,184125
E05009036,136500
E05009037,126500
E05009038,113500
E05009039,87000
E05009040,81000
E05009041,150000
E05009042,137000
E05009043,112502
E05009044,126000
E05009045,155000
E05009046,112000
E05009047,121950
E05009048,98000
E05009049,165000
E05009050,61000
E05009051,115500
E05009052,94995
E05009053,106995
E05009054,115000
E05009055,100000
E05009056,110000
E05009057,90000
E05009058,205000
E05009059,64000
E05009060,249950
E05009061,97000
E05009062,87500
E05009063,66000
E05009064,157000
E05009065,37976
E05009066,150000
E05009067,95000
E05009068,148500
E05009069,87500
E05009070,316498
E05009071,219995
E05009072,124250
E05009073,117000
E05009074,95998
E05009075,81475
E05009076,105000
E05009077,147500
E05009078,199250
E05009079,115000
E05009080,67000
E05009081,80000
E05009082,100000
E05009083,72500
E05009084,112500
E05009085,76000
E05009086,91000
E05009087,133000
E05009088,156500
E05009089,113500
E05009090,92500
E05009091,148998
E05009092,80000
E05009093,212500
E05009094,134250
E05009095,227500
E05009096,60500
E05009097,210000
E05009098,125000
E05009099,80000
E05009100,192500
E05009101,160000
E05009102,110000
E05009103,154250
E05009104,156250
E05009105,124973
E05009106,225975
E05009107,85350
E05009108,112995
E05009109,328900
E05009110,110998
E05009111,184950
E05009112,126500
E05009113,180975
E05009114,135000
E05009115,140500
E05009116,192473
E05009117,69000
E05009118,155100
E05009119,127500
E05009120,183000
E05009121,132500
E05009122,175000
E05009123,161250
E05009124,197500
E05009125,300000
E05009126,46250
E05009127,159000
E05009128,249000
E05009129,82000
E05009130,139950
E05009131,217500
E05009132,285000
E05009133,112500
E05009134,237500
E05009135,279495
E05009136,191500
E05009137,74000
E05009138,139950
E05009139,194250
E05009140,184950
E05009141,129250
E05009142,324998
E05009143,255000
E05009144,425000
E05009145,430000
E05009146,140000
E05009147,149950
E05009148,240000
E05009149,146950
E05009150,135000
E05009151,249995
E05009152,77000
E05009153,171250
E05009154,217500
E05009155,126250
E05009156,248500
E05009157,86000
E05009158,168000
E05011436,111750
E05011437,116750
E05011438,120000
E05011439,110000
E05011440,192475
E05011441,229950
E05011442,167500
E05011443,225101
E05011444,135423
E05011445,83000
E05011446,159000
E05011447,325000
E05011448,140000
E05011449,127000
E05011450,138000
E05011451,107250
E05011452,214000
E05011453,148000
E05011454,235000
E05011455,166500
E05011456,271500
E05011457,213500
E05011458,92000
E05011459,140000
E05011460,114000
E05011461,157000
E05001115,126000
E05001116,153500
E05001117,124800
E05001118,105000
E05001119,148500
E05001120,220000
E05001121,114975
E05001122,229973
E05001123,170000
E05001124,265000
E05001125,202250
E05001126,167750
E05001127,170000
E05001128,142000
E05001129,322500
E05001130,220000
E05001131,216950
E05001132,98000
E05001133,151000
E05001134,225000
E05001135,117000
E05001136,105000
E05001137,85000
E05001138,142000
E05001139,240000
E05001140,136000
E05001141,120000
E05001142,165000
E05001143,108000
E05001144,199950
E05001145,155000
E05001146,145000
E05001147,107000
E05001148,103750
E05001150,110000
E05001149,137500
E05001151,139000
E05001152,100000
E05001153,127000
E05001154,92000
E05001155,143375
E05001156,175500
E05001157,160000
E05001158,75000
E05001159,119000
E05001160,99950
E05001161,85000
E05001162,114498
E05001163,80250
E05001164,159950
E05001169,95000
E05001170,149995
E05001171,109000
E05001172,86250
E05001165,105000
E05001166,152000
E05001167,168750
E05001168,127000
E05001173,130000
E05001174,195000
E05001175,80000
E05001176,149000
E05001177,133250
E05001067,136750
E05001068,124998
E05001069,130500
E05009313,125000
E05001071,155000
E05001072,159500
E05001073,105390
E05001074,128000
E05001075,170000
E05001076,110000
E05001077,127475
E05001078,165000
E05001079,119500
E05001080,180125
E05001081,106000
E05001082,169975
E05001083,114750
E05001084,132500
E05001085,131725
E05001086,193000
E05001087,112750
E05001088,123000
E05001577,135000
E05001578,173750
E05001579,235000
E05001580,125000
E05001582,290000
E05001583,146750
E05001584,223995
E05001585,108250
E05001586,310000
E05001587,125000
E05001581,102500
E05001588,110000
E05001589,130000
E05001590,177500
E05001591,124500
E05001592,130000
E05001593,105000
E05001594,165000
E05001595,96500
E05001596,88500
E05001597,155995
E05011024,347500
E05011025,108650
E05011026,151500
E05011027,149000
E05011028,208975
E05011029,264000
E05011030,105000
E05011031,338750
E05011032,255498
E05011033,157000
E05011034,130000
E05011035,180000
E05011036,260000
E05011037,327000
E05011038,122000
E05011039,177500
E05011040,122500
E05011041,170000
E05011042,174000
E05011043,195000
E05011044,303500
E05011045,220000
E05011508,85000
E05011509,90000
E05011510,171000
E05011511,75750
E05011512,147000
E05011513,97750
E05011514,70500
E05011515,129950
E05011516,119500
E05011517,112500
E05011518,100000
E05011519,177950
E05011520,78000
E05011521,132750
E05011522,110000
E05011523,85000
E05011524,184950
E05001643,120000
E05001644,127000
E05001645,70975
E05001646,88500
E05001647,79500
E05001648,104000
E05001649,105250
E05001650,88000
E05001651,124950
E05001652,119000
